,LEAD_TYPE_CD,Lead Description,product_nm,PROPOSITION
215,INTTP,Remo Home Improvements Interstitial,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
216,INTTQ,FAD Home Improvements Interstitial,Mortgages Application,Mortgage Further Advance Acquisition (Interstitial)
217,INTUP,Super Prime INTER Child 2 PERSO,Loans - New,Loan Acquisition - Aligned (Interstitial)
218,INTUQ,Highly Likely INTER Child 2 PERSO,Loans - New,Loan Acquisition - Aligned (Interstitial)
219,INTUR,Loan Eligible INTER Child 2 PERSO,Loans - New,Loan Acquisition - Aligned (Interstitial)
220,INTVA,Lending Loan Refinance,Loans - New,Loan Refinance (Interstitial)
221,INTVD,Lending Loan Refinance,Loans - New,Loan Refinance (Interstitial)
222,INTVG,Lending Loan Refinance,Loans - New,Loan Refinance (Interstitial)
223,INTVM,Lending Loan Acquisition,Loans - New,Loan Acquisition - Aligned (Interstitial)
224,INTWB,Self Service Tool - Arrears INT,NP - Arrears - Mortgages,Self Service Tool - Arrears IN
225,INTWD,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition (Interstitial)
226,INTWE,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition (Interstitial)
227,INTWF,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition (Interstitial)
228,INTWG,Mortgage FTB Conversion Personalised,Mortgages Application,Mortgage First Time Buyer Acquisition (Interstitial)
229,INTWV,CC Acq Cashback IB Child 1 INT,Credit Cards,Card Acquisition - Aligned (Interstitial)
230,INTXC,Super Prime INTER Child 1 BAU,Loans - New,Loan Acquisition - Aligned (Interstitial)
231,INTXE,Highly Likely INTER Child 1 BAU,Loans - New,Loan Acquisition - Aligned (Interstitial)
232,INTXI,EMOB BT INT Lead on page MBNA,Credit Cards,Credit Card EMOB Spend (Interstitial)
233,INTXJ,EMOB BT INT Lead on page Heritage,Credit Cards,Credit Card EMOB Spend (Interstitial)
234,INTXL,Loan Eligible INTER Child 1 BAU,Loans - New,Loan Acquisition - Aligned (Interstitial)
235,INTXP,INT - AF Car Loan - Acquisition - Rapid Audience,Car Finance,Asset Finance Car Loan - Acquisition - (Interstitial)
236,INTXS,Customer Led Remortgage Acq New MA IB Child Lead,Mortgages Application,Mortgage Remortgage Acquisition (Interstitial)
237,INTYJ,2nd card cashback CC with PCA INT,Credit Cards,Card Acquisition - Second Card and Trade (Interstitial)
238,INTYK,2nd card cashback CC no PCA INT,Credit Cards,Card Acquisition - Second Card and Trade (Interstitial)
239,INTZH,Bank Led Non Timely Quad BT MT Offer,,Credit Card Balance Transfer (Interstitial)
240,MOR12,Mortgage Cess PT N3M SALES,Mortgages Application,Mortgage Cessation
241,MOR13,Mortgage Cess Prod transf LTB,Mortgages Application,Mortgage Cessation
242,MOR14,Mortgage Cess PT N3M SERVICE,Mortgages Application,Mortgage Cessation
243,MOR15,Mort Cess PT 3-6M SALES,Mortgages Application,Mortgage Cessation
244,MOR17,Mort Cess PT 3-6M SERVICE,Mortgages Application,Mortgage Cessation
245,MOR18,Mortgage Cessations IB 6M sales,Mortgages Application,Mortgage Cessation
246,MOR20,Cessations IB ON Page 3M LTB Sales,Mortgages Application,Mortgage Cessation
247,MOR21,Mortgage Cess Prod transf HAL   EAL TEST,Mortgages Application,Mortgage Cessation
248,MOR22,Mortgage Cess Prod transf HAL  EAL CONTROL,Mortgages Application,Mortgage Cessation
249,MOR23,Mortgage Cess Prod transf LTB   EAL TEST,Mortgages Application,Mortgage Cessation
250,MOR24,Mortgage Cess Prod transf LTB  EAL CONTROL,Mortgages Application,Mortgage Cessation
251,MOR25,Mortgage Cess Prod transf HAL   EAL TEST,Mortgages Application,Mortgage Cessation
252,MOR26,Mortgage Cess Prod transf HAL  EAL CONTROL,Mortgages Application,Mortgage Cessation
253,NFINT,Asset Finance Refi Conv INT,Car Finance,Asset Finance Car Loan - REFI - (Interstitial)
254,NFINT,Asset Finance Refi Conv INT,Loans - New,Asset Finance Car Loan - REFI - (Interstitial)
255,NGINT,Struct Lend Car Loan Refi INT,Car Finance,Structured Lending Car Loan - REFI - (Interstitial)
256,NGINT,Struct Lend Car Loan Refi INT,Car Finance,Structured Lending Car Loan - REFI - (Interstitial)
257,NVT04,PHub Nav Tiles Existing CC holders - BT message,,Nav Tiles Balance Transfer
